,raceId,start_position,finish_position,laps,fast_lap_rank,statusId,season,round,gp,driver,driver_nationality,points_driver_season,driver_season_wins,constructor,constructor_season_points,constructor_season_position,constructor_season_wins,qualify_position,status,age,overtakes
0,18,1,1,58,2.0,1,2008,1,Australian Grand Prix,hamilton,British,10.0,1,McLaren,14.0,1,1,1.0,Finished,23.0,0
1,18,3,5,58,1.0,1,2008,1,Australian Grand Prix,kovalainen,Finnish,4.0,0,McLaren,14.0,1,1,3.0,Finished,26.0,-2
2,19,9,5,56,3.0,1,2008,2,Malaysian Grand Prix,hamilton,British,14.0,1,McLaren,24.0,1,1,4.0,Finished,23.0,4
3,19,8,3,56,7.0,1,2008,2,Malaysian Grand Prix,kovalainen,Finnish,10.0,0,McLaren,24.0,1,1,3.0,Finished,26.0,5
4,20,5,5,57,1.0,1,2008,3,Bahrain Grand Prix,kovalainen,Finnish,14.0,0,McLaren,28.0,3,1,5.0,Finished,27.0,0
5,21,5,3,66,3.0,1,2008,4,Spanish Grand Prix,hamilton,British,20.0,1,McLaren,34.0,3,1,5.0,Finished,23.0,2
6,22,3,2,58,2.0,1,2008,5,Turkish Grand Prix,hamilton,British,28.0,1,McLaren,42.0,3,1,3.0,Finished,24.0,1
7,23,3,1,76,6.0,1,2008,6,Monaco Grand Prix,hamilton,British,38.0,2,McLaren,53.0,2,2,3.0,Finished,23.0,2
8,23,4,8,76,2.0,1,2008,6,Monaco Grand Prix,kovalainen,Finnish,15.0,0,McLaren,53.0,2,2,4.0,Finished,27.0,-4
9,24,7,9,70,11.0,1,2008,7,Canadian Grand Prix,kovalainen,Finnish,15.0,0,McLaren,53.0,3,2,7.0,Finished,27.0,-2
10,25,13,10,70,5.0,1,2008,8,French Grand Prix,hamilton,British,38.0,2,McLaren,58.0,3,2,3.0,Finished,23.0,3
11,25,10,4,70,3.0,1,2008,8,French Grand Prix,kovalainen,Finnish,20.0,0,McLaren,58.0,3,2,6.0,Finished,27.0,6
12,26,4,1,60,3.0,1,2008,9,British Grand Prix,hamilton,British,48.0,3,McLaren,72.0,3,3,4.0,Finished,23.0,3
13,27,1,1,67,2.0,1,2008,10,German Grand Prix,hamilton,British,58.0,4,McLaren,86.0,3,4,1.0,Finished,24.0,0
14,27,3,5,67,4.0,1,2008,10,German Grand Prix,kovalainen,Finnish,28.0,0,McLaren,86.0,3,4,3.0,Finished,27.0,-2
15,28,1,5,70,3.0,1,2008,11,Hungarian Grand Prix,hamilton,British,62.0,4,McLaren,100.0,2,5,1.0,Finished,23.0,-4
16,28,2,1,70,7.0,1,2008,11,Hungarian Grand Prix,kovalainen,Finnish,38.0,1,McLaren,100.0,2,5,2.0,Finished,26.0,1
